repo,stars,created_at,age_years,merged_prs
ZhuLinsen/daily_stock_analysis,64006,2026-01-10T06:43:20Z,0.62,691
rust-lang/rustlings,63958,2015-09-15T02:25:18Z,10.95,953
NanmiCoder/MediaCrawler,63823,2023-06-09T12:14:34Z,3.21,142
FFmpeg/FFmpeg,63667,2011-04-14T14:12:38Z,15.37,0
asgeirtj/system_prompts_leaks,63619,2025-05-03T02:43:56Z,1.31,32
commaai/openpilot,63509,2016-11-24T01:33:30Z,9.75,13308
tldr-pages/tldr,63487,2013-12-08T07:34:43Z,12.71,19559
socketio/socket.io,63207,2010-03-11T18:24:48Z,16.46,450
virattt/ai-hedge-fund,63060,2024-11-29T16:30:01Z,1.74,53
pbakaus/impeccable,62931,2025-11-16T01:52:04Z,0.77,294
resume/resume.github.com,62887,2011-02-06T13:39:55Z,15.55,84
git/git,62810,2008-07-23T14:21:26Z,18.09,4
jgraph/drawio-desktop,62808,2017-05-25T20:58:42Z,9.25,44
usememos/memos,62560,2021-12-08T15:30:18Z,4.71,2089
karpathy/nanoGPT,62511,2022-12-28T00:51:12Z,3.66,45
topjohnwu/Magisk,62451,2016-09-08T12:42:53Z,9.96,1728
pathwaycom/pathway,62383,2022-11-27T13:01:14Z,3.75,29
youngyangyang04/leetcode-master,62291,2019-12-14T12:05:42Z,6.7,2311
withastro/astro,62075,2021-03-15T17:19:47Z,5.45,9275
sansan0/TrendRadar,61855,2025-04-28T11:42:16Z,1.33,2
PlexPt/awesome-chatgpt-prompts-zh,61833,2022-12-12T01:55:03Z,3.7,33
byoungd/up,61721,2017-05-30T07:18:52Z,9.24,31
2dust/v2rayNG,61651,2019-05-15T02:15:31Z,7.28,673
reduxjs/redux,61509,2015-05-29T23:53:15Z,11.24,1767
FuelLabs/sway,61483,2021-01-19T20:54:33Z,5.6,3717
minio/minio,61374,2015-01-14T19:23:58Z,11.61,9882
lodash/lodash,61283,2012-04-07T04:11:46Z,14.38,644
ChrisTitusTech/winutil,61271,2022-04-28T02:25:19Z,4.33,1472
upstash/context7,61264,2025-03-26T23:40:39Z,1.42,488
RVC-Boss/GPT-SoVITS,61255,2024-01-14T18:05:21Z,2.61,367
tw93/Pake,61087,2022-10-14T09:32:57Z,3.87,164
coollabsio/coolify,61083,2021-01-25T20:54:01Z,5.58,2827
1c7/chinese-independent-developer,61020,2017-09-21T11:08:23Z,8.93,763
Solido/awesome-flutter,61002,2017-05-07T11:45:27Z,9.3,452
ultralytics/ultralytics,60991,2022-09-11T16:39:45Z,3.96,5529
h5bp/Front-end-Developer-Interview-Questions,60869,2012-02-09T23:34:10Z,14.54,485
xingshaocheng/architect-awesome,60842,2018-04-06T13:30:58Z,8.39,49
pocketbase/pocketbase,60831,2022-07-05T06:06:21Z,4.14,55
nuxt/nuxt,60801,2016-10-26T11:18:47Z,9.83,8343
atom/atom,60771,2012-01-20T18:18:21Z,14.6,3937
microsoft/autogen,60642,2023-08-18T11:43:45Z,3.02,2537
marktext/marktext,60631,2017-11-12T16:05:25Z,8.79,1371
