repo,stars,total_releases,pushed_at,days_since_update
nestjs/nest,76403,158,2026-08-19T20:51:09Z,0
grafana/grafana,76315,640,2026-08-19T23:21:18Z,0
sdmg15/Best-websites-a-programmer-should-visit,76272,0,2025-09-16T18:34:24Z,337
redis/redis,76046,150,2026-08-19T05:24:19Z,0
tesseract-ocr/tesseract,76001,36,2026-08-17T06:09:36Z,2
AppFlowy-IO/AppFlowy,75747,142,2026-08-11T13:01:19Z,8
ocornut/imgui,75742,122,2026-08-19T11:39:50Z,0
typicode/json-server,75688,49,2026-03-23T19:40:00Z,149
openai/openai-cookbook,75358,0,2026-08-19T16:37:05Z,0
D4Vinci/Scrapling,75273,52,2026-08-19T20:19:22Z,0
obsproject/obs-studio,75215,247,2026-08-15T00:34:08Z,4
PKUFlyingPig/cs-self-learning,75051,5,2026-08-13T14:21:23Z,6
caddyserver/caddy,75026,136,2026-08-19T03:07:24Z,0
shareAI-lab/learn-claude-code,74679,0,2026-08-18T17:42:28Z,1
python/cpython,74411,0,2026-08-19T21:49:33Z,0
enaqx/awesome-react,74340,0,2026-07-20T07:31:52Z,30
apache/superset,74314,267,2026-08-19T22:48:26Z,0
abi/screenshot-to-code,74244,0,2026-08-14T17:20:50Z,5
hiyouga/LlamaFactory,74232,36,2026-08-18T11:49:47Z,1
josephmisiti/awesome-machine-learning,74076,0,2026-08-11T21:49:59Z,8
Eugeny/tabby,74011,209,2026-08-18T04:03:25Z,1
unionlabs/union,73851,113,2026-07-25T18:20:02Z,25
unslothai/unsloth,73848,54,2026-08-19T23:26:45Z,0
twitter/the-algorithm,73835,0,2025-09-08T18:40:54Z,345
datawhalechina/hello-agents,73779,3,2026-08-18T06:51:35Z,1
thedaviddias/Front-End-Checklist,73575,2,2026-08-14T05:59:25Z,5
vuejs/awesome-vue,73539,0,2026-07-24T10:16:04Z,26
binhnguyennus/awesome-scalability,73398,0,2026-01-04T03:51:47Z,227
CompVis/stable-diffusion,73311,0,2024-06-18T01:53:49Z,792
Panniantong/Agent-Reach,73084,7,2026-08-12T03:39:49Z,7
strapi/strapi,72969,541,2026-08-19T15:11:08Z,0
danielmiessler/SecLists,72937,30,2026-08-19T10:33:47Z,0
fffaraz/awesome-cpp,72835,0,2026-08-19T05:32:17Z,0
ComposioHQ/awesome-claude-skills,72827,0,2026-08-10T21:45:44Z,9
microsoft/ai-agents-for-beginners,72726,0,2026-08-18T11:47:04Z,1
NationalSecurityAgency/ghidra,72532,55,2026-08-18T16:16:20Z,1
juliangarnier/anime,72254,37,2026-08-17T22:01:29Z,2
hakimel/reveal.js,72154,51,2026-05-21T19:20:20Z,90
pallets/flask,72136,38,2026-08-16T18:35:35Z,3
chrislgarry/Apollo-11,72123,0,2026-07-15T02:29:53Z,35
OpenBB-finance/OpenBB,72053,56,2026-07-30T17:33:42Z,20
moby/moby,71986,308,2026-08-19T18:16:08Z,0
daytonaio/daytona,71959,205,2026-07-24T07:12:07Z,26
protocolbuffers/protobuf,71738,218,2026-08-19T23:15:50Z,0
toeverything/AFFiNE,71688,567,2026-08-19T17:23:41Z,0
nektos/act,71561,97,2026-08-09T22:50:11Z,10
Asabeneh/30-Days-Of-Python,71399,0,2026-08-12T20:53:22Z,7
666ghj/MiroFish,71217,3,2026-08-17T05:17:34Z,2
binary-husky/gpt_academic,71212,32,2026-01-25T12:33:10Z,206
prakhar1989/awesome-courses,70528,0,2023-05-04T12:49:34Z,1203
ansible/ansible,70375,252,2026-08-19T18:12:49Z,0
swiftlang/swift,70261,70,2026-08-19T23:13:08Z,0
FoundationAgents/MetaGPT,69900,22,2026-01-21T10:12:33Z,210
